d,k,p,q,q_gt_6M,nearest_mu_q,nearest_tau_q,mu_dist_lower,mu_dist_upper,tau_dist_lower,tau_dist_upper,epsilon_lower,threshold_upper
63,73,16115051198600194239268190316172379449,12725689040428549011872695801566531678,True,-7543368082540546414136669495385392913,16115051198600194239268190316172379449,0.230853579459095955610464242621,0.230853579459095955610464242622,0.00000000000000000000000000000000000003008719031287706863635906090815662584675877,0.00000000000000000000000000000000000003008719031287706863635906090815662584675878,0.221827422365232835019556524349,186.01899273123963694910
64,73,16115051198600194239268190316172379449,12725689040428549011872695801566531678,True,-7543368082539857526485748495463725522,16115051198600194239268190316172379449,0.489670464737961654342700278293,0.489670464737961654342700278294,0.00000000000000000000000000000000000003008719031287706863635906090815662584675877,0.00000000000000000000000000000000000003008719031287706863635906090815662584675878,0.480644307644098533751792560021,184.41215813509591581503
65,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179718617330521270423347458504,15136144531388965939312829111354084553,0.226523192160241697307018674009,0.226523192160241697307018674010,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.211426694538543111270032251477,185.98855547238810091198
66,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179718370182751653906144905178,15136144531388965939312829111354084553,0.228473311595926010013246797794,0.228473311595926010013246797795,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.213376813974227423976260375262,185.96947584578036960646
67,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179718217437029787168718785489,15136144531388965939312829111354084553,0.462645994634434798635782321814,0.462645994634434798635782321815,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.447549497012736212598795899283,184.43017980513545282931
68,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179718123034982037386483203105,15136144531388965939312829111354084553,0.278065249360582157368344031232,0.278065249360582157368344031233,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.262968751738883571331357608700,185.53520653415328029466
69,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179718064691307920430353354561,15136144531388965939312829111354084553,0.097863285811307544234775676592,0.097863285811307544234775676593,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.082766788189608958197789254060,187.93749234288231632899
70,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179718028632934287603888835755,15136144531388965939312829111354084553,0.138868238102868976375586668109,0.138868238102868976375586668110,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.123771740481170390338600245577,187.10124482440033750685
71,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179718006347633803474086462354,15136144531388965939312829111354084553,0.169412105696153113786639782898,0.169412105696153113786639782899,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.154315608074454527749653360366,186.64290022401400093796
72,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179717992574560654777371970928,15136144531388965939312829111354084553,0.168648696651795114739716393917,0.168648696651795114739716393918,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.153552199030096528702729971385,186.65320616419709662957
73,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179717984062333319344264094552,15136144531388965939312829111354084553,0.402924998862796214990917153981,0.402924998862796214990917153982,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.387828501241097628953930731449,184.72781152819525088550
74,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179717978801487506080649842321,15136144531388965939312829111354084553,0.062036998277679293992357430166,0.062036998277679293992357430167,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.046940500655980707955371007635,189.11607106088710836371
75,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179717975550105983911153301031,15136144531388965939312829111354084553,0.244494383332379767808608755076,0.244494383332379767808608755077,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.229397885710681181771622332545,185.81902587374151878126
76,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179717973540641692817034475841,15136144531388965939312829111354084553,0.495423262523304637576780842779,0.495423262523304637576780842780,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.480326764901606051539794420247,184.28330167502147502116
77,73,16115051198600194239268190316172379449,12725689040428549011872695801566531678,True,-7543368082538745022275405091211347872,16115051198600194239268190316172379449,0.179344262336719453686092055474,0.179344262336719453686092055475,0.00000000000000000000000000000000000003008719031287706863635906090815662584675877,0.00000000000000000000000000000000000003008719031287706863635906090815662584675878,0.170318105242856333095184337202,186.56808939352284026568
78,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179717971531177401722915488083,15136144531388965939312829111354084553,0.086514256515977507639396464740,0.086514256515977507639396464741,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.071417758894278921602410042209,188.24396924555979974342
79,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179717971056807230666278130337,15136144531388965939312829111354084553,0.497861123017841567949387227946,0.497861123017841567949387227947,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.482764625396142981912400805414,184.27278118469057074080
80,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179717970763630341704174618312,15136144531388965939312829111354084553,0.366177578556698609124065513232,0.366177578556698609124065513233,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.351081080935000023087079090700,184.93467684822786111201
81,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179717970582437059609640763531,15136144531388965939312829111354084553,0.449321331225667141312194642951,0.449321331225667141312194642952,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.434224833603968555275208220419,184.49298933752087472978
82,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179717970470453452742071102826,15136144531388965939312829111354084553,0.329105112447401362974755253043,0.329105112447401362974755253044,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.314008614825702776937768830511,185.16658464747606788550
83,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179717970401243777515106907428,15136144531388965939312829111354084553,0.301554302559608540910037490994,0.301554302559608540910037490995,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.286457804937909954873051068462,185.35741365228373994951
84,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179717970358469845874501441617,15136144531388965939312829111354084553,0.236664753582640185799313116223,0.236664753582640185799313116224,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.221568255960941599762326693691,185.89119220652995102657
85,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179717970332034102288142711836,15136144531388965939312829111354084553,0.224275093484876221783687165157,0.224275093484876221783687165158,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.209178595863177635746700742625,186.01077007144288721820
86,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179717970315695914233895975733,15136144531388965939312829111354084553,0.115217045417205153522937009314,0.115217045417205153522937009315,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.100120547795506567485950586782,187.54193251679113104415
87,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179717970305598358701783982027,15136144531388965939312829111354084553,0.076396329412566918523027241877,0.076396329412566918523027241878,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.061299831790868332486040819345,188.56143746966785785063
88,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179717970299357726179649239619,15136144531388965939312829111354084553,0.259358449733581969166486422014,0.259358449733581969166486422015,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.244261952111883383129499999482,185.68855685295521069006
89,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179717970295500803169671988317,15136144531388965939312829111354084553,0.067336925465382291842985361596,0.067336925465382291842985361597,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.052240427843683705805998939064,188.89376601123918285848
90,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179717970293117093657514497210,15136144531388965939312829111354084553,0.125616498949383782242845647913,0.125616498949383782242845647914,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.110520001327685196205859225381,187.33657269605512143328
91,73,16115051198600194239268190316172379449,12725689040428549011872695801566531678,True,-7543368082538742885390000433840245825,16115051198600194239268190316172379449,0.422847146742433730256650998247,0.422847146742433730256650998248,0.00000000000000000000000000000000000003008719031287706863635906090815662584675877,0.00000000000000000000000000000000000003008719031287706863635906090815662584675878,0.413820989648570609665743279975,184.72323532697944007701
92,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179717970290733384145357006103,15136144531388965939312829111354084553,0.412655007845298756893607779787,0.412655007845298756893607779788,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.397558510223600170856621357255,184.67631885344349270448
93,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179717970290170666661874976818,15136144531388965939312829111354084553,0.052376423246318794974236835760,0.052376423246318794974236835761,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.037279925624620208937250413228,189.59491602992067606854
94,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179717970289822888131019275191,15136144531388965939312829111354084553,0.134245474232966881058765117076,0.134245474232966881058765117077,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.119148976611268295021778694545,187.18034606477580388538
95,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179717970289607949178392947534,15136144531388965939312829111354084553,0.495340444203195390185693796332,0.495340444203195390185693796333,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.480243946581496804148707373800,184.28366001130266019929
96,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179717970289475109600163573564,15136144531388965939312829111354084553,0.211245108475633342983393735393,0.211245108475633342983393735394,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.196148610853934756946407312861,186.14442394029427828345
97,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179717970289393010225766619876,15136144531388965939312829111354084553,0.126786314330170796881751650611,0.126786314330170796881751650612,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.111689816708472210844765228079,187.31469247021479291948
98,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179717970289342270021934199595,15136144531388965939312829111354084553,0.082879777173995706042339217492,0.082879777173995706042339217493,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.067783279552297120005352794960,188.35250982883150934490
99,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179717970289310910851369666188,15136144531388965939312829111354084553,0.465089100430535147879741449072,0.465089100430535147879741449073,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.449992602808836561842755026540,184.41886668959014334012
100,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179717970289291529818101779314,15136144531388965939312829111354084553,0.039076891573043466406635264182,0.039076891573043466406635264183,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.023980393951344880369648841650,190.51180625164151585494
101,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179717970289279551680805132780,15136144531388965939312829111354084553,0.152661984941817067804576301088,0.152661984941817067804576301089,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.137565487320118481767589878556,186.88167206461483995621
102,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179717970289272148784833892440,15136144531388965939312829111354084553,0.386920194726346038835339583863,0.386920194726346038835339583864,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.371823697104647452798353161331,184.81538922929662198757
103,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179717970289267573543508486246,15136144531388965939312829111354084553,0.344395085153479415800673930294,0.344395085153479415800673930295,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.329298587531780829763687507762,185.06778308793535271201
104,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179717970289264745888862652101,15136144531388965939312829111354084553,0.378823801840617372548107591440,0.378823801840617372548107591441,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.363727304218918786511121168908,184.86113911662592540122
105,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179717970289262998302183080052,15136144531388965939312829111354084553,0.301869132829333831738490841688,0.301869132829333831738490841689,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.286772635207635245701504419156,185.35513099356260895187
106,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179717970289261918234216817955,15136144531388965939312829111354084553,0.102043010737058661565230959468,0.102043010737058661565230959469,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.086946513115360075528244536937,187.83511276045071680350
107,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179717970289261250715503508004,15136144531388965939312829111354084553,0.017438055456469504952418828852,0.017438055456469504952418828853,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.002341557834770918915432406320,195.34630949413494995216
108,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179717970289260838166250555857,15136144531388965939312829111354084553,0.494044798731629722866864774699,0.494044798731629722866864774700,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.478948301109931136829878352168,184.28927403821547470016
